,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q66,Sex,Sex_3_TEXT,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,Region_3_TEXT,IdPol,IdPol_2_TEXT,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,Control_1,Control_2,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGroup_1,Q37_1,Intragroup_1,Q38_1,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,InterGContacPetrist_1,InterGContacPetrist_2,InterGContacPetrist_3,InterGContacPetrist_4,InterGContacPetrist_5,InterGContacPetrist_6,InterGContacUribi_1,InterGContacUribi_2,InterGContacUribi_3,InterGContacUribi_4,InterGContacUribi_5,InterGContacUribi_6,OutGEmpUribis_1,OutGEmpUribis_2,OutGEmpUribis_3,EmpUribist_1,EmpUribist_2,EmpUribist_3,ConspiracyUribi_1,ConspiracyUribi_2,ConspiracyUribi_3,ConspiracyUribi_4,ConspiracyPetrist_1,ConspiracyPetrist_2,ConspiracyPetrist_3,ConspiracyPetrist_4,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Q64_5_TEXT,Q78
1094,2024-02-11 14:14:03,2024-02-11 14:43:48,IP Address,179.19.110.207,100,1785,True,2024-02-11 14:43:49.256000,R_7EMwfeuJW9HvYCF,,,,,4.6913,-74.032,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,43.0,Posgrado,Mestizo,CALI,Valle del Cauca ,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De otra región. Cuàl?,Cauca ,Sólo de izquierda,,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Fuertemente en desacurdo,Fuertemente en desacurdo,Fuertemente en desacurdo,.,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Sí,Sí,Un poco en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,,Con muchísimas,,Con algunas,Siempre,Algunas veces,Frecuentemente,Siempre,Casi siempre,Casi siempre,Casi siempre,Siempre,Casi siempre,Casi siempre,Algunas veces,Algunas veces,Algunas veces,,,,,,,,,,Completamente en desacuerdo,De acuerdo,Completamente de acuerdo,,,,,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,0,80,80,0,80,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,En desacuerdo,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Ningún control,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,100,100,100,Gustavo Petro,Gustavo Petro,,
1095,2024-02-11 14:19:47,2024-02-11 15:17:10,IP Address,190.130.102.189,100,3442,True,2024-02-11 15:17:10.760000,R_7Jf4GjR8F4bFMwb,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,42.0,Universitario,Blanco,CALI,Valle del Cauca,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Valluno,,"Otro, ¿Cuál?",Centro ,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,.Centro,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,,,,,Rara vez,Rara vez,Algunas veces,Algunas veces,Rara vez,Rara vez,Algunas veces,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,20,10,20,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde muy poco con mis sentimientos,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,Cerca de 1 hora al día,Un poco,Un poco,La mayor parte del tiempo,Algo de control,Entre 1 y 3 horas al día,"Un poco, pero es manejable","Moderadamente, pero es manejable",La mayor parte del tiempo,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,72,27,100,Sergio Fajardo,Sergio Fajardo,,JavCali(00008909547)
1098,2024-02-12 09:25:48,2024-02-12 10:48:46,IP Address,200.29.127.170,100,4978,True,2024-02-12 10:48:47.524000,R_3S1WUnLmrU4Q4gF,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,49.0,Universitario,Blanco,CALI,Valle del cauca,Fuertemente de acuerdo,Fuertemente de acuerdo,Algo de acuerdo,Fuertemente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De otra región. Cuàl?,Nariñense,Principalmente petrista,,Completamente de acuerdo,Completamente de acuerdo,Algo de acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,.,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,,Con muchas,,Con muchisimas,Rara vez,Siempre,Casi siempre,Casi siempre,Casi nunca,Rara vez,Rara vez,Algunas veces,Rara vez,Frecuentemente,Nunca,Casi nunca,Casi nunca,,,,,,,,,,Un poco en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,Ni de acuerdo ni en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,De acuerdo,29,49,59,85,80,Corresponde algo con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco en desacuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Nada,Un poco,"Moderadamente, pero es manejable",Algunas veces,Algo de control,Cerca de 1 hora al día,Nada,Un poco,Algunas veces,Algo de control,Ni de acuerdo ni en desacuerdo,En desacuerdo,Para nada de acuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,7,7,100,Gustavo Petro,Sergio Fajardo,,
1100,2024-02-12 16:18:13,2024-02-12 16:44:17,IP Address,181.71.114.167,100,1563,True,2024-02-12 16:44:17.953000,R_7fGs2VAHGTlciWt,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,41.0,Universitario,Ninguna,CALI,Valle,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Valluno,,"Otro, ¿Cuál?",Libertaria,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,.,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,Un poco de acuerdo,En desacuerdo,De acuerdo,Completamente en desacuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,,,,,Nunca,Frecuentemente,Nunca,Frecuentemente,Nunca,Nunca,Algunas veces,,,,,,,,,,,,,,,,,,,,,,,,,,,50,95,79,100,100,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Un poco en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,29,29,29,Gustavo Petro,No votaría,,(00008909547) Leslie Patricia Polanco Velasco
1101,2024-02-12 16:51:16,2024-02-12 17:04:28,IP Address,181.71.114.167,100,791,True,2024-02-12 17:04:28.846000,R_3m9UdxmwgipfyoE,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,44.0,Posgrado,Indígena,CALI,valle,De acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Valluno,,"Otro, ¿Cuál?",libertario,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,.,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,.,.,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente en desacuerdo,De acuerdo,Completamente en desacuerdo,Un poco de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,,,,,Algunas veces,Frecuentemente,Algunas veces,Algunas veces,Nunca,Nunca,Casi siempre,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,71,90,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,50,3,59,No quiero responder,Federico (Fico) Gutierrez,,
1102,2024-02-12 18:39:43,2024-02-12 18:57:42,IP Address,186.98.35.228,100,1078,True,2024-02-12 18:57:43.475000,R_36umVYZwgHwA6c1,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,33.0,Universitario,Mestizo,CALI,Valle,De acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Valluno,,"Otro, ¿Cuál?","Centro, afín al petrismo si, pero con algunas observaciones y desacuerdos",Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,.,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Un poco en desacuerdo,Completamente de acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,De acuerdo,Completamente de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,,,,,Nunca,Rara vez,Algunas veces,Nunca,Nunca,Nunca,Rara vez,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,96,,0,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,De acuerdo,Completamente de acuerdo,Un poco en desacuerdo,Entre 1 y 3 horas al día,Un poco,Un poco,La mayor parte del tiempo,Algo de control,Cerca de 1 hora al día,Un poco,Un poco,La mayor parte del tiempo,Algo de control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,Moderadamente de acuerdo,Para nada de acuerdo,50,50,90,Gustavo Petro,Gustavo Petro,,00008909547
1103,2024-02-12 18:44:05,2024-02-12 19:06:29,IP Address,190.130.98.189,100,1343,True,2024-02-12 19:06:29.851000,R_5w7EePKMrqpEC9B,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,32.0,Secundaria,Ninguna,CALI,Valle del cauca,Fuertemente en desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Valluno,,Sólo de izquierda,,De acuerdo,De acuerdo,De acuerdo,Fuertemente en desacurdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,.,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,De acuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente en desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,,Con varias,,Con varias,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Rara vez,Rara vez,Rara vez,,,,,,,,,,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,,,,,Un poco en desacuerdo,Un poco de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,86,100,100,55,100,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,Completamente de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Para nada de acuerdo,Completamente de acuerdo,Para nada de acuerdo,86,100,,Gustavo Petro,Gustavo Petro,,00008909547
1105,2024-02-13 07:51:20,2024-02-13 08:11:39,IP Address,181.32.66.31,100,1218,True,2024-02-13 08:11:40.341000,R_5IBKq0MuUMuj7BD,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,50.0,Universitario,Blanco,CALI,VALLE DEL CAUCA,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Santandereano,,"Otro, ¿Cuál?",NEUTRAL,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,.Centro,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,En desacuerdo,De acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco de acuerdo,En desacuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,,,,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,0,0,0,No quiero responder,No votaría,,00008909547
1107,2024-02-13 15:08:29,2024-02-13 15:25:31,IP Address,186.168.85.226,100,1021,True,2024-02-13 15:25:32.227000,R_7PmWLCBdLU0190B,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Una mujer,,53.0,Posgrado,Mestizo,CALI,Valle del Cauca,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Valluno,,"Otro, ¿Cuál?","no pertenezco a una corriente, en lo politico apoyo el partido y candidato que sustente proyectos viables y de beneficio para el pais",Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,.Centro,,,,,,Algo de acuerdo,,,Sí,Sí,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco en desacuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,,,,,Casi siempre,Rara vez,Frecuentemente,Nunca,Algunas veces,Frecuentemente,Siempre,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,8,0,29,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Completamente de acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Un poco de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,En desacuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,Moderadamente de acuerdo,En desacuerdo,Moderadamente de acuerdo,Para nada de acuerdo,29,75,55,Sergio Fajardo,Gustavo Petro,,
1109,2024-02-13 17:48:20,2024-02-13 18:23:49,IP Address,181.234.21.160,100,2129,True,2024-02-13 18:23:50.502000,R_3fZT6cxLG9qK5hT,,,,,3.4129,-76.5191,anonymous,ES,Acepto participar y continuo en la encuesta,Un hombre,,61.0,Técnico o Tecnológico,Blanco,CALI,Valle,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Del eje cafetero,,Sólo de derecha,,En desacuerdo,Fuertemente en desacurdo,Fuertemente en desacurdo,Fuertemente en desacurdo,Algo de acuerdo,En desacuerdo,De acuerdo,.,Completamente de acuerdo,De acuerdo,Fuertemente en desacuerdo,En desacuerdo,Algo en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Con varias,,Con varias,,Casi nunca,Casi nunca,Nunca,Nunca,Algunas veces,Casi nunca,Algunas veces,,,,,,,Nunca,Nunca,Rara vez,Casi siempre,Casi siempre,Nunca,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco en desacuerdo,,,,Ni de acuerdo ni en desacuerdo,De acuerdo,Completamente en desacuerdo,Completamente de acuerdo,,,,,0,20,40,23,52,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Más de 8 horas al dia,Nada,Nada,Algunas veces,Algo de control,Nada,Nada,Nada,Siempre,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Moderadamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,93,88,89,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,00008909547
